授業コード,講義名,種別,対象コース,担当教員,コマ数,推定受講者数,開講期,特定使用教室,連続数
0001,lecture_0001,選択,"A,P,AS,F","高槻,横山,双海,天海",1,200,2,,
0002,lecture_0002,選択,AS,"白石,teacher_N,周防,青羽",2,80,2,,2.0
0003,lecture_0003,選択,A,"七尾,水瀬,音無",1,100,2,,
0004,lecture_0004,選択,P,福田,1,70,2,,
0005,lecture_0005,選択,"P,F,AS",秋月,1,80,2,,
0006,lecture_0006,選択,A,"三浦,双海,Stewart",1,80,2,,
0007,lecture_0007,選択,"AS,F,A,P","佐竹,中谷",3,80,2,,3.0
0008,lecture_0008,選択,AS,"菊池,宮尾",1,70,2,,
0009,lecture_0009,選択,AS,"篠宮,professor_G,如月",1,70,2,,
0010,lecture_0010,必須,"AS,F",水瀬,1,70,2,,
0011,lecture_0011,選択,P,teacher_I,1,70,2,,
0012,lecture_0012,選択,F,"木下,高山,天空橋",1,70,2,,
0013,lecture_0013,選択,A,"professor_F,田中,横山",1,70,1,,
0014,lecture_0014,選択,AS,"七尾,天海,矢吹,青羽",1,70,3,,
0015,lecture_0015,必須,"P,A,F","真壁,双海,Stewart,teacher_L",1,70,1,,
0016,lecture_0016,選択,"F,AS,P,A","田中,周防,teacher_H",1,300,1,,
0017,lecture_0017,選択,"A,P,AS,F","秋月,professor_G",3,80,2,,3.0
0018,lecture_0018,選択,"AS,P",馬場,1,80,2,,
0019,lecture_0019,選択,"P,F,A","四条,北沢,春日,星井",2,70,2,,2.0
0020,lecture_0020,必須,"A,F","菊池,宮尾,矢吹",1,80,2,,
0021,lecture_0021,選択,P,伴田,1,80,2,,
0022,lecture_0022,必須,AS,"矢吹,春日,高木",1,80,1,E号館_007,
0023,lecture_0023,必須,P,"teacher_L,黒井,野々原",1,70,1,,
0024,lecture_0024,選択,F,"高山,高坂,白石,professor_D",1,80,2,,
0025,lecture_0025,選択,AS,"桜守,真壁,水瀬,天空橋",1,300,2,,
0026,lecture_0026,選択,A,professor_C,1,70,2,,
0027,lecture_0027,選択,A,"秋月,professor_F,星井,二階堂",1,70,2,,
0028,lecture_0028,選択,F,"青羽,秋月,真壁",1,70,2,,
0029,lecture_0029,選択,A,"黒井,望月",1,70,1,,
0030,lecture_0030,選択,P,"大神,天海,高木,豊川",1,70,1,,
0031,lecture_0031,選択,P,"福田,水瀬,Julia",1,100,2,,
0032,lecture_0032,必須,"AS,F,A,P",真壁,1,80,1,,
0033,lecture_0033,必須,F,"水瀬,青羽,篠宮,teacher_M",1,70,2,,
0034,lecture_0034,選択,"P,A,AS,F","白石,高木",1,70,1,,
0035,lecture_0035,選択,F,"青羽,Stewart",2,70,1,,2.0
0036,lecture_0036,選択,AS,"最上,佐竹",1,100,2,,
0037,lecture_0037,選択,P,"高木,白石",1,70,1,,
0038,lecture_0038,選択,F,"高山,teacher_J,佐竹",1,70,2,,
0039,lecture_0039,選択,A,"松田,teacher_I,田中,天空橋",1,70,1,,
0040,lecture_0040,選択,F,"白石,天海,馬場",2,100,1,,2.0
0041,lecture_0041,選択,F,"gengen,青羽,高坂,水瀬",1,70,1,,
0042,lecture_0042,選択,AS,"四条,professor_G,青羽,矢吹",1,70,2,,
0043,lecture_0043,選択,P,伴田,1,70,1,,
0044,lecture_0044,選択,A,"大神,teacher_L",1,100,2,,
0045,lecture_0045,選択,"F,P,A","professor_F,舞浜,春日",1,70,2,,
0046,lecture_0046,選択,AS,豊川,1,70,2,,
0047,lecture_0047,選択,AS,"宮尾,四条,gengen",1,80,1,,
0048,lecture_0048,選択,"F,A,AS,P","高坂,如月,福田,天海",1,70,1,,
0049,lecture_0049,必須,"F,A,AS","桜守,北上,professor_A",1,80,2,,
0050,lecture_0050,選択,"A,AS","teacher_K,音無",2,50,1,,2.0
0051,lecture_0051,必須,"A,F,P,AS","白石,春日,北上",1,70,2,,
0052,lecture_0052,必須,F,"professor_E,宮尾",1,100,2,,
0053,lecture_0053,選択,"F,P",teacher_H,1,70,1,,
0054,lecture_0054,選択,F,"大神,豊川",1,80,1,,
0055,lecture_0055,選択,F,"徳川,三浦",1,70,1,,
0056,lecture_0056,選択,"P,A,AS","黒井,professor_G,如月",1,70,1,,
0057,lecture_0057,選択,"A,P,AS",春日,1,200,1,,
0058,lecture_0058,選択,A,"teacher_H,舞浜",1,100,1,,
0059,lecture_0059,選択,F,桜守,1,70,1,,
