授業コード,講義名,種別,対象コース,担当教員,コマ数,推定受講者数,開講期,特定使用教室,連続数
0002,lecture_0002,選択,AS,"白石,teacher_N,周防,青羽",1,80,2,,2.0
0007,lecture_0007,選択,"AS,F,A,P","佐竹,中谷",1,80,2,,3.0
0017,lecture_0017,選択,"A,P,AS,F","秋月,professor_G",1,80,2,,3.0
0019,lecture_0019,選択,"P,F,A","四条,北沢,春日,星井",1,70,2,,2.0
0122,lecture_0122,選択,"A,P,AS","伴田,徳川",1,70,2,,2.0
0131,lecture_0131,必須,A,黒井,1,70,2,,2.0
0163,lecture_0163,選択,A,大神,1,70,2,,2.0
0183,lecture_0183,選択,"A,AS,F,P","矢吹,天空橋,佐竹,七尾",1,70,2,,2.0
0193,lecture_0193,選択,"F,P,AS","箱崎,水瀬,高山",1,50,2,,2.0
0203,lecture_0203,選択,A,"天海,高坂",1,70,2,,2.0
0204,lecture_0204,選択,"P,AS","professor_D,天空橋,馬場,伴田",1,70,2,,2.0
0224,lecture_0224,選択,AS,"望月,professor_E,松田,北沢",1,50,2,,2.0
