,月,月,月,月,月,月,月,月,月,火,火,火,火,火,火,火,火,火,水,水,水,水,水,水,水,水,水,木,木,木,木,木,木,木,木,木,金,金,金,金,金,金,金,金,金,土,土,土,土,土,土,土,土,土
,授業コード,講義名,種別,対象コース,担当教員,教室,時限,コマ数,推定受講者数,授業コード,講義名,種別,対象コース,担当教員,教室,時限,コマ数,推定受講者数,授業コード,講義名,種別,対象コース,担当教員,教室,時限,コマ数,推定受講者数,授業コード,講義名,種別,対象コース,担当教員,教室,時限,コマ数,推定受講者数,授業コード,講義名,種別,対象コース,担当教員,教室,時限,コマ数,推定受講者数,授業コード,講義名,種別,対象コース,担当教員,教室,時限,コマ数,推定受講者数
時限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1限,20.0,lecture_0020,P,選択,"菊池,宮尾",G号館_009,月1,1.0,70.0,67.0,lecture_0067,AS,選択,"伴田,永吉,我那覇,最上",A号館_009,火1,1.0,70.0,17.0,lecture_0017,P,選択,"professor_B,teacher_H,黒井",G号館_008,水1,1.0,70.0,8.0,lecture_0008,P,選択,"菊池,teacher_I",C号館_001,木1,1.0,70.0,64.0,lecture_0064,"P,F,A,AS",選択,"矢吹,木下,伴田",E号館_002,金1,1.0,70.0,12.0,lecture_0012,F,選択,professor_A,G号館_004,土1,1.0,300.0
1限,26.0,lecture_0026,A,選択,"teacher_H,双海,天海,野々原",F号館_001,月1,2.0,150.0,77.0,lecture_0077,"P,F",選択,"松田,真壁,teacher_L,秋月",D号館_002,火1,1.0,100.0,86.0,lecture_0086,AS,必須,"teacher_K,箱崎",D号館_010,水1,1.0,100.0,11.0,lecture_0011,F,選択,"箱崎,黒井,professor_E,professor_C",C号館_006,木1,1.0,70.0,114.0,lecture_0114,AS,選択,"佐竹,伊吹,我那覇,横山",G号館_003,金1,1.0,80.0,21.0,lecture_0021,P,選択,"徳川,高坂",B号館_009,土1,1.0,70.0
1限,39.0,lecture_0039,A,選択,"木下,白石,我那覇",F号館_006,月1,1.0,70.0,81.0,lecture_0081,"A,F",選択,"二階堂,天空橋,横山",D号館_009,火1,1.0,100.0,101.0,lecture_0101,P,選択,"gengen,professor_A,白石",E号館_009,水1,1.0,70.0,37.0,lecture_0037,P,選択,"永吉,青羽",B号館_006,木1,1.0,70.0,243.0,lecture_0243,"A,AS,F",選択,"北上,舞浜,大神,桜守",G号館_006,金1,2.0,100.0,22.0,lecture_0022,F,選択,"萩原,春日,北沢",C号館_008,土1,2.0,80.0
1限,90.0,lecture_0090,"F,A",選択,"青羽,大神",E号館_008,月1,1.0,80.0,92.0,lecture_0092,F,選択,"佐竹,舞浜",B号館_002,火1,2.0,70.0,121.0,lecture_0121,"A,F",選択,"teacher_M,professor_C,矢吹",B号館_009,水1,2.0,70.0,85.0,lecture_0085,A,選択,"白石,Stewart,島原",D号館_004,木1,1.0,70.0,246.0,lecture_0246,P,選択,"teacher_N,箱崎,百瀬,Julia",E号館_007,金1,1.0,70.0,29.0,lecture_0029,P,選択,"望月,篠宮",A号館_001,土1,1.0,50.0
1限,150.0,lecture_0150,"A,P,AS,F",選択,"百瀬,teacher_I,音無,周防",B号館_006,月1,2.0,70.0,147.0,lecture_0147,A,選択,"高木,箱崎,北上,teacher_M",A号館_007,火1,1.0,50.0,134.0,lecture_0134,"A,F,P,AS",選択,"百瀬,永吉",G号館_005,水1,2.0,200.0,92.0,lecture_0092,F,選択,"佐竹,舞浜",A号館_007,木1,2.0,70.0,,,,,,,,,,34.0,lecture_0034,F,選択,"天海,宮尾,真壁",D号館_001,土1,1.0,100.0
1限,162.0,lecture_0162,F,選択,"teacher_K,真壁,萩原",C号館_004,月1,2.0,70.0,,,,,,,,,,188.0,lecture_0188,"F,P",選択,"松田,佐竹",C号館_008,水1,1.0,70.0,131.0,lecture_0131,F,選択,星井,G号館_004,木1,2.0,300.0,,,,,,,,,,95.0,lecture_0095,"F,A",選択,"teacher_H,松田,野々原",F号館_002,土1,1.0,150.0
1限,193.0,lecture_0193,"AS,P,F,A",選択,"秋月,teacher_M,永吉,福田",A号館_006,月1,2.0,70.0,,,,,,,,,,216.0,lecture_0216,"AS,F",選択,"七尾,professor_G",B号館_010,水1,1.0,70.0,162.0,lecture_0162,F,選択,"teacher_K,真壁,萩原",C号館_005,木1,2.0,70.0,,,,,,,,,,115.0,lecture_0115,A,選択,"秋月,高木,天空橋,舞浜",C号館_003,土1,1.0,70.0
1限,206.0,lecture_0206,"A,P,F,AS",選択,"徳川,北上,田中,松田",C号館_008,月1,1.0,80.0,,,,,,,,,,235.0,lecture_0235,"F,A",選択,"高木,舞浜,二階堂,professor_F",D号館_001,水1,2.0,100.0,197.0,lecture_0197,A,選択,"professor_D,音無,professor_B",G号館_003,木1,2.0,80.0,,,,,,,,,,131.0,lecture_0131,F,選択,星井,G号館_005,土1,2.0,300.0
1限,234.0,lecture_0234,A,選択,teacher_N,A号館_008,月1,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,lecture_0132,"AS,P,A",選択,如月,F号館_001,土1,1.0,150.0
1限,240.0,lecture_0240,AS,選択,"箱崎,professor_F,高坂,北沢",B号館_001,月1,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,lecture_0158,"AS,P",選択,"黒井,高山,音無",D号館_010,土1,2.0,70.0
1限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,lecture_0181,P,選択,馬場,C号館_009,土1,2.0,80.0
1限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,lecture_0184,P,選択,横山,D号館_007,土1,1.0,100.0
1限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,lecture_0200,"AS,A,F",選択,professor_D,B号館_003,土1,2.0,70.0
1限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2限,52.0,lecture_0052,"AS,A,P,F",必須,"舞浜,高槻,秋月,北上",G号館_001,月2,2.0,200.0,10.0,lecture_0010,AS,選択,professor_B,D号館_003,火2,1.0,100.0,27.0,lecture_0027,F,選択,最上,A号館_006,水2,1.0,70.0,23.0,lecture_0023,F,選択,"青羽,professor_A,秋月,所",F号館_002,木2,1.0,150.0,96.0,lecture_0096,F,必須,"田中,松田,百瀬,野々原",A号館_006,金2,2.0,70.0,15.0,lecture_0015,"F,AS",選択,"田中,黒井,teacher_I",F号館_003,土2,1.0,70.0
2限,66.0,lecture_0066,AS,選択,"teacher_J,音無,天海",E号館_002,月2,1.0,70.0,50.0,lecture_0050,"P,A",選択,"我那覇,三浦",F号館_003,火2,1.0,150.0,35.0,lecture_0035,AS,選択,"松田,菊池,中谷,宮尾",B号館_001,水2,1.0,70.0,24.0,lecture_0024,"P,F,A",選択,"天海,teacher_M,天空橋",F号館_001,木2,1.0,80.0,139.0,lecture_0139,"F,P,A,AS",選択,"青羽,高槻,永吉,最上",C号館_006,金2,1.0,80.0,33.0,lecture_0033,"A,F,P",選択,所,C号館_004,土2,1.0,70.0
2限,141.0,lecture_0141,"AS,P,A",選択,"篠宮,星井",E号館_007,月2,1.0,70.0,72.0,lecture_0072,"AS,A,F",選択,"音無,teacher_H,豊川",A号館_008,火2,2.0,70.0,45.0,lecture_0045,"AS,A,F,P",選択,"高坂,伊吹,望月,音無",C号館_009,水2,1.0,70.0,47.0,lecture_0047,P,選択,"最上,春日,松田",D号館_005,木2,2.0,100.0,173.0,lecture_0173,"A,F,AS,P",選択,"高山,大神,篠宮,周防",D号館_008,金2,1.0,80.0,48.0,lecture_0048,P,選択,"青羽,professor_E,professor_B",A号館_006,土2,2.0,70.0
2限,142.0,lecture_0142,AS,選択,"矢吹,水瀬,松田",G号館_006,月2,1.0,70.0,91.0,lecture_0091,F,選択,"舞浜,teacher_L,professor_E",D号館_001,火2,1.0,70.0,58.0,lecture_0058,AS,選択,"箱崎,舞浜,水瀬,professor_B",E号館_006,水2,1.0,80.0,76.0,lecture_0076,"F,A,AS,P",選択,"teacher_I,徳川,白石",D号館_008,木2,1.0,70.0,196.0,lecture_0196,F,選択,"teacher_K,teacher_I,如月,舞浜",C号館_008,金2,1.0,70.0,62.0,lecture_0062,A,選択,"豊川,松田,teacher_K",C号館_006,土2,1.0,80.0
2限,153.0,lecture_0153,"F,AS,P",選択,"teacher_L,teacher_I",D号館_004,月2,2.0,100.0,97.0,lecture_0097,A,選択,"篠宮,伊吹,二階堂,所",A号館_010,火2,1.0,70.0,80.0,lecture_0080,"A,AS,P",選択,"島原,teacher_K",E号館_002,水2,1.0,70.0,136.0,lecture_0136,"F,AS",選択,"如月,野々原",C号館_009,木2,1.0,80.0,211.0,lecture_0211,P,必須,"professor_C,菊池,所",E号館_004,金2,1.0,70.0,68.0,lecture_0068,P,選択,"伴田,音無,宮尾,望月",B号館_006,土2,1.0,70.0
2限,161.0,lecture_0161,F,選択,"島原,我那覇",D号館_003,月2,2.0,70.0,104.0,lecture_0104,P,選択,"teacher_N,白石,professor_G",F号館_008,火2,2.0,70.0,87.0,lecture_0087,P,必須,"伴田,三浦,高山",C号館_001,水2,1.0,70.0,155.0,lecture_0155,F,選択,"三浦,菊池",B号館_007,木2,1.0,70.0,,,,,,,,,,84.0,lecture_0084,"P,F",選択,中谷,D号館_004,土2,1.0,80.0
2限,213.0,lecture_0213,"A,P",選択,"最上,professor_D,北沢",A号館_001,月2,2.0,50.0,110.0,lecture_0110,"P,A,F,AS",選択,"北上,如月,teacher_M,野々原",E号館_001,火2,1.0,70.0,93.0,lecture_0093,A,選択,"矢吹,篠宮",A号館_007,水2,1.0,70.0,157.0,lecture_0157,P,選択,"teacher_N,北上",E号館_004,木2,2.0,70.0,,,,,,,,,,106.0,lecture_0106,AS,選択,"野々原,菊池,百瀬",D号館_007,土2,1.0,80.0
2限,228.0,lecture_0228,"P,F",選択,"永吉,福田,teacher_K",G号館_003,月2,1.0,100.0,151.0,lecture_0151,"AS,F,P",選択,真壁,G号館_008,火2,1.0,80.0,113.0,lecture_0113,A,選択,"双海,gengen,春日",C号館_003,水2,1.0,70.0,180.0,lecture_0180,AS,選択,"箱崎,豊川",B号館_001,木2,1.0,70.0,,,,,,,,,,109.0,lecture_0109,A,選択,"四条,professor_A,双海,舞浜",B号館_008,土2,2.0,70.0
2限,247.0,lecture_0247,A,選択,"白石,青羽,萩原,中谷",G号館_005,月2,1.0,70.0,194.0,lecture_0194,"AS,P",選択,"北沢,青羽,teacher_K",G号館_009,火2,1.0,200.0,123.0,lecture_0123,AS,選択,"professor_G,高槻",B号館_004,水2,1.0,70.0,235.0,lecture_0235,"F,A",選択,"高木,舞浜,二階堂,professor_F",D号館_002,木2,2.0,100.0,,,,,,,,,,137.0,lecture_0137,F,選択,"篠宮,北上,横山,白石",G号館_005,土2,1.0,200.0
2限,,,,,,,,,,,,,,,,,,,187.0,lecture_0187,F,選択,"佐竹,北上",D号館_006,水2,2.0,70.0,237.0,lecture_0237,"AS,F,A",選択,"星井,伴田,teacher_H,永吉",A号館_009,木2,1.0,70.0,,,,,,,,,,181.0,lecture_0181,P,選択,馬場,C号館_007,土2,2.0,80.0
